Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Location,Medium,Oatmeal-1kg,Oatmeal-2kg,Oatmeal-5kg,Fonio-1kg,Garri-1kg,Plantain_Chips -1kg,Buying_Convenience,Easy Payment option,Discount_Opinons,Product_Quality,Health Concern,Prompt_Delivery,Delivery_Experince,Affordability,Accessibility,Time_Importance,Order Time,Google Maps Accuracy,Influence of rating,Packaging_Quality,Politeness,Freshness,Good Taste ,Good Quantity,Output,Reviews
23,Female,Married,Self Employeed,>200000,Post Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Agree,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Important,Important,Very Important,Very Important,Very Important,Yes,NIL
24,Female,Married,Employeed,<50000,Post Graduate,6,Lagos,Supermarkets,yes,yes,yes,No,yes,yes,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Maybe,Anytime (Mon-Sun),Strongly Agree,Yes,Moderately Important,Important,Very Important,Very Important,Very Important,Yes,NIL
28,Female,Married,Employeed,>200000,Post Graduate,2,Lagos, Direct call,No,No,No,Yes,Yes,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,No,Anytime (Mon-Sun),Neutral,No,Unimportant,Slightly Important,Very Important,Important,Important,Yes,NIL
23,Female,Married,Employeed,<50000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Yes,"Spillage, bad packaging and missing items "
25,Male,Married,Employeed,<50000,Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Once my order from kfc got exchanged with someone else. Fault was delivery boy's. 
21,Female,Single,Student,<50000,Post Graduate,1,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Maybe,Anytime (Mon-Sun),Disagree,Yes,Very Important,Slightly Important,Very Important,Very Important,Very Important,Yes,Nil
24,Male,Married,Student,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Yes,Weekend (Sat & Sun),Strongly disagree,Yes,Very Important,Important,Very Important,Very Important,Important,Yes,NIL
22,Male,Married,Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil
22,Female,Married,Employeed,<50000,Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Yes,Weekdays (Mon-Fri),Strongly Agree,Yes,Important,Slightly Important,Very Important,Important,Important,Yes,I feel Swiggy has a good interface for users and the delivery time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant 
23,Male,Married,Employeed,<50000,Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Yes,Weekdays (Mon-Fri),Neutral,Yes,Important,Important,Important,Important,Important,Yes,NIL
21,Male,Married,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,No,Anytime (Mon-Sun),Strongly Agree,Maybe,Important,Moderately Important,Moderately Important,Important,Important,Yes,NIL
25,Male,Married,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Yes,Anytime (Mon-Sun),Neutral,Yes,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Nil
22,Female,Married,Employeed,<50000,Post Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Yes,Anytime (Mon-Sun),Agree,Yes,Important,Important,Important,Important,Important,Yes,NIL
22,Male,Married,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Disagree,No,Anytime (Mon-Sun),Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Yes,Nil
23,Female,Married,Employeed,>200000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),Neutral,Maybe,Important,Moderately Important,Important,Important,Important,Yes,NIL
22,Male,Married,Employeed,>200000,Post Graduate,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Neutral,No,Very Important,Important,Important,Very Important,Very Important,Yes,No
22,Female,Married,Employeed,>200000,Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
22,Male,Single,Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,NIL
25,Male,Married,Employeed,>200000,Ph.D,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Yes,Anytime (Mon-Sun),Disagree,Yes,Slightly Important,Moderately Important,Important,Very Important,Important,Yes,I expect faster delivery in my area
22,Female,Single,Employeed,>200000,Post Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Important,Very Important,Very Important,Very Important,Yes,Nil
22,Female,Single,Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Yes,NIL
25,Male,Single,Employeed,>200000,Post Graduate,3,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Moderately Important,Very Important,Very Important,Important,Yes,Nil
25,Male,Single,Employeed,<50000,Post Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Yes,Anytime (Mon-Sun),Agree,Maybe,Very Important,Very Important,Very Important,Very Important,Very Important,No,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order "
32,Female,Prefer not to say,Employeed,<50000,Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,Weekdays (Mon-Fri),Agree,Yes,Important,Important,Moderately Important,Slightly Important,Important,Yes,I love zomato but it requires quality in deliver service. 
23,Female,Single,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,Yes,Weekend (Sat & Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,NIL
23,Female,Single,Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Neutral,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,NIL
30,Male,Married,Employeed,>200000,Uneducated,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Weekdays (Mon-Fri),Strongly Agree,Yes,Important,Important,Important,Important,Important,Yes,Prefer hygienic delivery people
23,Male,Single,Employeed,<50000,Graduate,3,Lagos,Konga,No,No,No,No,Yes,Yes,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,nil
23,Male,Single,Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Important,Important,Very Important,Important,Important,Yes,NIL
22,Female,Single,Employeed,<50000,Post Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
22,Male,Single,Employeed,<50000,Graduate,5,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),Agree,Yes,Important,Moderately Important,Very Important,Important,Important,Yes,NIL
27,Female,Married,Employeed,>200000,Post Graduate,2,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,No,Moderately Important,Moderately Important,Very Important,Important,Moderately Important,Yes,NIL
24,Female,Married,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Maybe,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,NIL
23,Male,Married,Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),Disagree,Yes,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,-
23,Female,Married,Employeed,<50000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Important,Yes,"Spillage, bad packaging and missing items "
22,Female,Married,Employeed,>100000,Post Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Important,Very Important,Very Important,Very Important,Yes,Nil
23,Female,Married,Employeed,<50000,Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Yes,Weekdays (Mon-Fri),Neutral,Yes,Moderately Important,Slightly Important,Important,Important,Important,Yes,Nil
23,Female,Single,Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),Neutral,Maybe,Important,Important,Very Important,Very Important,Very Important,Yes,NiL
24,Male,Single,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Important,Very Important,Very Important,Important,Yes,No
25,Male,Single,Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,N0
22,Male,Single,Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Important,Important,Important,Important,Yes,Nil
28,Female,Married,Employeed,<50000,Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Moderately Important,Yes,I have normally had good experiences with swiggy especially for payments and refunds
22,Female,Single,Employeed,<50000,Post Graduate,1,Lagos,Supermarkets,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),Agree,Yes,Important,Important,Very Important,Very Important,Very Important,Yes,NIL
24,Female,Single,Employeed,<50000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),Strongly Agree,Yes,Moderately Important,Slightly Important,Very Important,Important,Very Important,Yes,NIL
31,Male,Married,Employeed,>100000,Ph.D,5,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Agree,Yes,Weekend (Sat & Sun),Neutral,Maybe,Important,Important,Important,Important,Important,Yes,NIL
25,Male,Married,Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,NIL
23,Male,Married,Employeed,<50000,Post Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Agree,Disagree,Maybe,Weekend (Sat & Sun),Agree,Maybe,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22,Male,Single,Self Employeed,<50000,Post Graduate,3,Lagos,Supermarkets,Yes,No,No,No,No,No,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),Agree,No,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nill
23,Male,Single,Self Employeed,>100000,Post Graduate,1,Lagos,Supermarkets,Yes,No,No,No,No,No,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,No,Weekend (Sat & Sun),Disagree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
23,Male,Single,Self Employeed,<50000,Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Maybe,Weekend (Sat & Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
23,Female,Single,Self Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Maybe,Anytime (Mon-Sun),Strongly disagree,Yes,Moderately Important,Very Important,Very Important,Very Important,Moderately Important,Yes,NIL
25,Male,Single,Self Employeed,<50000,Post Graduate,6,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Yes,Weekend (Sat & Sun),Neutral,Yes,Important,Important,Important,Important,Important,Yes,No
24,Male,Single,Self Employeed,>200000,Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Strongly disagree,Maybe,Anytime (Mon-Sun),Disagree,Yes,Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,Good
23,Female,Single,Self Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Yes,Weekend (Sat & Sun),Neutral,Yes,Important,Moderately Important,Very Important,Very Important,Very Important,Yes,Nil
23,Female,Single,Self Employeed,<50000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Yes,Weekend (Sat & Sun),Neutral,Yes,Important,Moderately Important,Very Important,Very Important,Very Important,Yes,Nil
24,Female,Married,Self Employeed,>200000,Ph.D,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Yes,Weekend (Sat & Sun),Neutral,Yes,Slightly Important,Very Important,Very Important,Very Important,Important,Yes,Good so far
22,Male,Single,Self Employeed,<50000,Graduate,4,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Slightly Important,Very Important,Very Important,Important,Yes,Nil
24,Female,Single,Self Employeed,<50000,Post Graduate,3,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,No,Nil
25,Female,Single,Self Employeed,<50000,Post Graduate,3,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,No,Weekend (Sat & Sun),Disagree,No,Very Important,Important,Very Important,Very Important,Very Important,Yes,NIL
23,Male,Single,Self Employeed,<50000,Post Graduate,2,Lagos,Restaurants,Yes,No,No,No,Yes,Yes,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),Agree,No,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil
26,Male,Single,Employed,<50000,Post Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Yes,Anytime (Mon-Sun),Neutral,No,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
24,Female,Single,Employed,>200000,Post Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Agree,Disagree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
26,Male,Single,Employed,<50000,Post Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,NIL
21,Male,Single,Employed,<50000,Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,No,Weekend (Sat & Sun),Neutral,Yes,Important,Moderately Important,Very Important,Very Important,Very Important,Yes,Nil
22,Female,Single,Employed,<50000,Post Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Yes,Weekend (Sat & Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
24,Male,Single,Employed,<50000,Post Graduate,10,Lagos,Restaurants,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,No,Anytime (Mon-Sun),Neutral,Maybe,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Yes,NIL
